incident_id,date,month,shift,incident_type,staffing_ratio,avg_experience_years,workload_index,bed_occupancy_rate,checklist_compliance,training_compliance,equipment_maintenance_score,human_factor,communication_issue,protocol_issue,equipment_issue,severity_label,severity_binary
ICU_0196,2025-05-10,5,Morning,Equipment Malfunction,2.14,3.0,1.24,1.17,0.71,0.78,0.61,1,0,0,1,Severe,1
ICU_0197,2025-07-31,7,Night,Fall,2.38,2.5,1.16,1.02,0.6,0.48,0.98,1,0,0,0,Near Miss,0
ICU_0198,2025-07-07,7,Morning,Pressure Injury,2.27,0.8,0.6,1.16,0.83,0.71,0.77,1,0,0,1,Mild,0
ICU_0199,2025-03-18,3,Morning,Medication Error,2.64,5.5,0.69,0.79,0.68,0.77,0.82,0,1,0,1,Moderate,0
ICU_0200,2025-10-02,10,Morning,Pressure Injury,2.94,4.1,1.36,1.12,0.85,0.64,0.71,1,0,0,1,Severe,1
ICU_0201,2025-04-24,4,Morning,Blood Transfusion Reaction,2.92,4.5,0.77,1.19,0.94,0.52,0.71,0,0,0,0,Sentinel,1
ICU_0202,2025-05-04,5,Night,Ventilator Event,2.67,2.2,0.65,0.99,0.79,0.76,0.7,0,0,0,0,Sentinel,1
ICU_0203,2025-11-24,11,Evening,Pressure Injury,2.77,3.4,0.79,0.87,0.89,0.48,0.62,0,0,0,1,Severe,1
ICU_0204,2025-09-30,9,Night,Handover Communication,2.11,3.6,0.58,0.99,0.59,0.58,0.89,0,1,0,0,Sentinel,1
ICU_0205,2025-01-16,1,Night,Equipment Malfunction,2.68,1.2,1.29,0.82,0.67,0.52,0.75,1,1,0,1,Severe,1
ICU_0206,2025-09-20,9,Evening,Central Line Issue,2.86,5.5,0.68,0.94,0.84,0.84,0.85,0,0,0,0,Moderate,0
ICU_0207,2025-10-01,10,Evening,Handover Communication,2.63,3.6,0.79,0.88,0.78,0.92,0.86,0,0,0,0,Mild,0
ICU_0208,2025-12-04,12,Morning,Equipment Malfunction,2.11,5.0,0.85,0.77,0.87,0.97,0.89,0,1,0,0,Severe,1
ICU_0209,2025-06-13,6,Night,Ventilator Event,2.65,2.9,0.93,0.75,1.0,0.83,0.85,0,0,0,0,Sentinel,1
ICU_0210,2025-02-22,2,Night,Diagnostic Delay,2.35,5.2,1.17,0.93,0.56,0.72,0.85,0,1,0,0,Severe,1
ICU_0211,2025-02-02,2,Evening,Pressure Injury,2.07,3.9,0.58,1.03,0.92,0.95,0.76,1,0,1,1,Mild,0
ICU_0212,2025-02-14,2,Night,Pressure Injury,1.76,1.7,0.83,0.73,0.5,0.55,0.7,0,1,0,0,Mild,0
ICU_0213,2025-12-22,12,Morning,Handover Communication,2.21,4.7,1.19,1.07,0.73,0.47,0.89,0,0,1,0,Severe,1
ICU_0214,2025-11-27,11,Morning,Handover Communication,2.41,5.1,1.26,1.07,0.53,0.43,0.87,1,0,1,0,Sentinel,1
ICU_0215,2025-05-16,5,Morning,Central Line Issue,2.6,2.4,0.78,0.81,0.87,0.65,0.78,0,0,1,0,Near Miss,0
ICU_0216,2025-02-13,2,Evening,Central Line Issue,2.32,4.9,1.03,1.11,0.57,0.76,0.93,0,0,1,1,Severe,1
ICU_0217,2025-11-26,11,Evening,Sepsis Delay,2.67,4.4,0.53,1.05,0.6,0.73,0.91,0,1,0,0,Severe,1
ICU_0218,2025-07-15,7,Evening,Fall,3.18,3.0,1.34,1.17,0.77,0.59,0.76,0,0,0,0,Sentinel,1
ICU_0219,2025-07-06,7,Evening,Equipment Malfunction,2.35,4.8,1.38,0.73,0.99,0.47,0.95,1,0,1,1,Severe,1
ICU_0220,2025-09-23,9,Evening,Fall,3.42,6.3,1.48,1.18,0.9,0.79,0.87,0,0,0,0,Mild,0
ICU_0221,2025-06-20,6,Morning,Equipment Malfunction,2.46,2.3,0.93,0.75,0.51,0.41,0.89,0,1,1,0,Severe,1
ICU_0222,2025-09-30,9,Morning,Ventilator Event,2.29,-0.4,0.75,0.97,0.56,0.5,0.93,0,0,0,0,Severe,1
ICU_0223,2025-02-14,2,Evening,Fall,2.71,3.7,0.56,0.86,0.8,0.96,0.64,0,0,0,0,Severe,1
ICU_0224,2025-01-18,1,Night,Handover Communication,2.68,5.8,1.14,1.2,0.66,0.62,0.81,1,1,0,1,Severe,1
ICU_0225,2025-02-17,2,Morning,Ventilator Event,1.91,5.5,1.21,0.74,0.6,0.41,0.9,0,1,0,0,Sentinel,1
ICU_0226,2025-02-12,2,Morning,Diagnostic Delay,2.28,2.8,1.17,0.85,0.7,0.55,0.81,0,0,1,1,Mild,0
ICU_0227,2025-12-21,12,Morning,Equipment Malfunction,2.35,4.8,1.03,1.03,0.5,0.55,0.83,0,1,0,0,Near Miss,0
ICU_0228,2025-05-13,5,Evening,Equipment Malfunction,2.29,4.9,1.4,1.11,0.7,0.89,0.94,0,1,0,0,Sentinel,1
ICU_0229,2025-07-23,7,Morning,Pressure Injury,2.26,3.5,0.6,1.14,0.75,0.8,0.76,0,0,0,1,Severe,1
ICU_0230,2025-10-30,10,Evening,Sepsis Delay,2.74,4.8,1.39,1.02,0.95,0.92,0.71,1,0,0,0,Mild,0
ICU_0231,2025-10-27,10,Evening,Ventilator Event,1.88,4.9,1.14,1.15,0.74,0.89,0.61,0,0,0,0,Severe,1
ICU_0232,2025-10-24,10,Morning,Central Line Issue,2.95,2.5,1.32,0.76,0.71,0.52,0.9,1,0,0,0,Sentinel,1
ICU_0233,2025-10-03,10,Night,Fall,2.17,3.0,0.57,0.97,0.67,0.53,0.97,0,0,0,0,Moderate,0
ICU_0234,2025-07-01,7,Evening,Sepsis Delay,2.18,3.4,1.02,1.15,0.89,0.49,0.72,0,0,0,0,Severe,1
ICU_0235,2025-05-23,5,Night,Blood Transfusion Reaction,2.18,3.2,0.96,1.01,0.58,0.41,0.64,1,1,1,0,Mild,0
ICU_0236,2025-06-10,6,Night,Central Line Issue,2.1,4.7,0.76,1.04,0.94,0.97,0.75,1,0,0,0,Sentinel,1
ICU_0237,2025-10-24,10,Night,Medication Error,2.8,2.7,1.21,1.19,0.55,0.93,0.67,0,0,0,0,Severe,1
ICU_0238,2025-06-02,6,Night,Central Line Issue,2.81,2.7,1.27,0.84,0.96,0.44,0.69,0,0,0,0,Near Miss,0
ICU_0239,2025-12-15,12,Morning,Central Line Issue,2.29,3.6,0.75,1.09,0.63,0.7,0.65,0,0,0,0,Sentinel,1
ICU_0240,2025-02-01,2,Evening,Fall,3.19,6.1,0.72,0.74,0.85,0.78,0.79,0,0,0,0,Mild,0
ICU_0241,2025-03-24,3,Evening,Equipment Malfunction,2.42,3.7,1.5,0.89,0.78,0.97,0.84,0,0,0,0,Sentinel,1
ICU_0242,2025-12-01,12,Evening,Central Line Issue,2.66,5.1,1.36,0.94,0.97,0.48,0.92,0,0,0,0,Near Miss,0
ICU_0243,2025-07-16,7,Morning,Handover Communication,2.74,2.0,1.28,1.05,0.72,0.96,0.66,0,0,0,0,Severe,1
ICU_0244,2025-07-16,7,Morning,Pressure Injury,2.12,5.3,1.19,0.8,0.52,0.87,0.93,0,0,0,0,Severe,1
ICU_0245,2025-12-06,12,Morning,Fall,2.66,3.3,0.83,0.99,0.8,0.95,0.83,1,0,0,0,Severe,1
ICU_0246,2025-05-24,5,Night,Central Line Issue,2.41,5.6,1.15,0.8,0.86,0.96,0.77,1,0,0,1,Severe,1
ICU_0247,2025-01-12,1,Morning,Fall,2.75,7.1,0.51,1.15,0.9,0.65,0.64,0,0,0,1,Moderate,0
ICU_0248,2025-06-07,6,Evening,Pressure Injury,2.65,0.8,0.74,1.12,0.65,0.52,0.67,0,1,1,1,Sentinel,1
ICU_0249,2025-03-22,3,Night,Medication Error,2.64,6.6,1.2,0.85,0.7,0.94,0.73,0,0,1,1,Severe,1
ICU_0250,2025-02-08,2,Night,Pressure Injury,2.5,3.4,1.12,0.71,0.68,0.42,0.85,1,1,0,0,Severe,1
ICU_0251,2025-05-30,5,Morning,Medication Error,1.82,3.6,1.28,0.97,0.67,0.96,0.99,1,1,0,0,Severe,1
ICU_0252,2025-02-19,2,Evening,Medication Error,2.9,4.3,0.79,0.72,0.51,0.66,0.6,0,0,0,0,Sentinel,1
ICU_0253,2025-09-20,9,Night,Pressure Injury,3.15,3.5,1.17,1.07,0.8,0.97,0.7,0,1,0,0,Near Miss,0
ICU_0254,2025-03-21,3,Night,Ventilator Event,2.91,6.3,1.49,1.03,0.81,0.96,0.96,1,0,0,0,Severe,1
ICU_0255,2025-08-21,8,Morning,Ventilator Event,2.37,5.7,1.2,1.18,0.62,0.69,0.9,0,1,0,1,Moderate,0
ICU_0256,2025-12-10,12,Evening,Diagnostic Delay,3.04,4.7,0.76,0.77,0.74,0.8,0.84,0,0,1,0,Mild,0
ICU_0257,2025-09-04,9,Evening,Ventilator Event,2.18,4.3,0.99,0.8,0.86,0.74,0.84,1,1,1,0,Sentinel,1
ICU_0258,2025-05-16,5,Morning,Ventilator Event,1.84,5.2,0.58,0.91,0.65,0.74,0.69,0,1,0,0,Severe,1
ICU_0259,2025-12-01,12,Morning,Equipment Malfunction,2.22,2.3,0.67,0.9,0.91,0.91,0.64,1,0,0,0,Mild,0
ICU_0260,2025-03-12,3,Morning,Medication Error,2.92,1.6,0.73,1.16,0.85,0.53,0.64,1,1,1,1,Severe,1
ICU_0261,2025-02-18,2,Morning,Equipment Malfunction,3.08,3.1,0.64,0.72,0.95,0.6,0.73,0,1,0,0,Near Miss,0
ICU_0262,2025-01-16,1,Evening,Ventilator Event,1.48,5.2,0.8,1.06,0.9,0.9,0.91,0,0,0,1,Moderate,0
ICU_0263,2025-07-17,7,Night,Medication Error,2.11,4.9,1.23,0.84,0.86,0.46,0.77,1,0,1,0,Moderate,0
ICU_0264,2025-07-11,7,Morning,Blood Transfusion Reaction,2.33,3.8,1.38,1.04,0.89,0.8,0.74,1,0,0,0,Severe,1
ICU_0265,2025-06-07,6,Evening,Central Line Issue,2.06,4.0,0.66,0.86,0.82,0.76,0.91,0,0,1,0,Severe,1
ICU_0266,2025-06-09,6,Night,Handover Communication,3.3,4.5,0.54,1.17,0.92,0.96,0.67,0,1,1,0,Moderate,0
ICU_0267,2025-02-25,2,Night,Equipment Malfunction,2.55,2.3,1.34,1.07,0.63,0.69,0.69,0,1,0,0,Sentinel,1
ICU_0268,2025-01-26,1,Morning,Diagnostic Delay,3.25,6.7,0.58,1.02,0.55,0.42,0.94,0,1,0,0,Severe,1
ICU_0269,2025-09-02,9,Morning,Fall,2.41,1.6,1.44,1.01,0.69,0.91,0.69,1,1,1,0,Severe,1
ICU_0270,2025-05-19,5,Morning,Handover Communication,3.62,3.3,1.09,0.71,0.69,0.71,0.78,0,0,0,0,Severe,1
ICU_0271,2025-05-20,5,Evening,Pressure Injury,2.73,5.2,1.43,0.81,0.58,0.52,0.86,0,1,0,0,Severe,1
ICU_0272,2025-08-03,8,Evening,Equipment Malfunction,2.82,2.2,1.18,0.74,0.87,0.59,0.69,0,0,0,0,Severe,1
ICU_0273,2025-11-23,11,Morning,Sepsis Delay,2.69,3.6,1.11,1.02,0.61,0.62,0.92,1,0,0,1,Severe,1
ICU_0274,2025-07-30,7,Evening,Handover Communication,2.92,3.2,0.7,1.07,0.56,0.89,0.87,0,0,0,0,Moderate,0
ICU_0275,2025-03-27,3,Night,Central Line Issue,3.07,6.0,0.88,0.73,0.72,0.49,0.97,0,0,1,1,Mild,0
ICU_0276,2025-12-01,12,Morning,Diagnostic Delay,2.35,5.0,0.52,0.71,0.76,0.89,0.74,1,1,0,0,Severe,1
ICU_0277,2025-10-05,10,Evening,Blood Transfusion Reaction,2.86,4.6,1.14,0.7,0.78,0.5,0.92,0,1,0,0,Severe,1
ICU_0278,2025-04-11,4,Morning,Fall,1.93,0.9,0.8,0.81,0.58,0.64,0.82,0,1,1,0,Sentinel,1
ICU_0279,2025-08-05,8,Morning,Handover Communication,2.42,5.3,0.82,1.11,0.85,0.47,0.88,1,0,0,0,Severe,1
ICU_0280,2025-06-09,6,Night,Fall,2.5,5.0,0.99,1.06,0.6,0.62,0.73,0,0,0,0,Near Miss,0
ICU_0281,2025-11-20,11,Morning,Ventilator Event,2.44,2.1,0.77,1.14,0.72,0.81,0.93,0,1,1,0,Severe,1
ICU_0282,2025-03-02,3,Evening,Fall,2.87,2.6,0.9,0.83,0.95,0.74,0.8,1,0,0,0,Severe,1
ICU_0283,2025-03-21,3,Morning,Blood Transfusion Reaction,2.7,4.2,0.54,0.76,0.94,0.67,0.79,0,1,0,0,Moderate,0
ICU_0284,2025-02-10,2,Morning,Diagnostic Delay,2.47,1.7,0.94,1.06,0.82,0.88,0.91,1,0,0,0,Severe,1
ICU_0285,2025-06-03,6,Evening,Pressure Injury,1.81,3.0,0.83,1.19,0.7,0.85,0.63,1,0,0,0,Sentinel,1
ICU_0286,2025-04-26,4,Morning,Blood Transfusion Reaction,1.76,2.9,0.66,0.71,0.63,0.88,0.72,0,1,0,0,Severe,1
ICU_0287,2025-10-25,10,Evening,Handover Communication,2.59,5.5,1.3,1.2,0.82,0.6,0.72,0,0,0,1,Severe,1
ICU_0288,2025-02-11,2,Night,Central Line Issue,1.9,4.0,0.99,1.08,0.99,0.8,0.61,0,1,1,1,Severe,1
ICU_0289,2025-05-18,5,Evening,Medication Error,3.01,3.8,1.01,0.87,0.93,0.75,0.8,1,0,0,0,Near Miss,0
ICU_0290,2025-12-04,12,Night,Sepsis Delay,3.3,3.8,0.96,0.98,0.64,0.5,0.93,1,0,0,0,Severe,1
ICU_0291,2025-06-21,6,Morning,Diagnostic Delay,2.19,3.4,0.68,0.91,0.64,0.82,0.74,0,0,0,1,Sentinel,1
ICU_0292,2025-10-18,10,Morning,Blood Transfusion Reaction,2.03,4.5,0.64,1.15,0.93,0.94,0.8,0,1,1,0,Severe,1
ICU_0293,2025-08-29,8,Night,Ventilator Event,2.42,3.3,1.38,0.91,0.66,0.58,0.82,0,0,1,1,Severe,1
ICU_0294,2025-07-25,7,Evening,Diagnostic Delay,1.64,2.8,0.92,0.83,0.6,0.52,0.62,0,0,0,0,Mild,0
ICU_0295,2025-12-25,12,Evening,Equipment Malfunction,3.09,3.3,1.33,0.71,0.64,0.72,0.65,0,0,0,0,Severe,1
ICU_0296,2025-12-10,12,Evening,Medication Error,2.11,4.1,0.84,0.76,0.96,0.97,0.82,0,1,0,0,Sentinel,1
ICU_0297,2025-01-24,1,Morning,Sepsis Delay,1.97,2.3,1.42,1.01,0.7,0.86,0.81,0,0,0,0,Severe,1
ICU_0298,2025-02-17,2,Morning,Fall,2.22,2.9,0.78,0.71,0.63,0.77,0.9,0,0,0,0,Near Miss,0
ICU_0299,2025-01-20,1,Night,Sepsis Delay,2.21,4.0,1.44,0.84,0.65,0.68,0.73,0,0,0,0,Mild,0
ICU_0300,2025-04-09,4,Night,Blood Transfusion Reaction,2.43,3.8,1.01,0.74,0.85,0.61,1.0,0,1,0,0,Severe,1
ICU_0301,2025-05-28,5,Evening,Fall,2.2,2.1,1.31,1.11,0.86,0.9,0.89,1,0,0,0,Near Miss,0
ICU_0302,2025-08-24,8,Morning,Fall,2.46,5.6,0.78,1.01,0.68,0.44,0.94,0,0,1,1,Near Miss,0
ICU_0303,2025-03-31,3,Evening,Handover Communication,2.49,5.9,0.97,0.76,0.56,0.88,0.94,0,1,1,0,Severe,1
ICU_0304,2025-03-14,3,Evening,Medication Error,1.54,6.1,0.98,1.06,0.5,0.44,0.94,0,1,0,0,Near Miss,0
ICU_0305,2025-12-11,12,Night,Diagnostic Delay,3.14,2.8,1.16,1.09,0.96,0.56,0.81,1,0,0,0,Sentinel,1
ICU_0306,2025-01-22,1,Evening,Equipment Malfunction,2.22,4.9,1.24,1.1,0.57,0.7,0.93,1,1,1,0,Severe,1
ICU_0307,2025-02-11,2,Morning,Pressure Injury,2.33,3.8,0.84,1.09,0.55,0.59,0.94,1,1,1,0,Mild,0
ICU_0308,2025-03-27,3,Morning,Fall,2.35,2.3,1.05,0.79,0.85,0.87,0.85,0,0,0,1,Severe,1
ICU_0309,2025-10-12,10,Morning,Fall,2.9,4.2,0.75,1.06,0.89,0.69,0.84,0,0,1,0,Moderate,0
ICU_0310,2025-04-13,4,Evening,Fall,2.4,3.3,0.58,0.82,0.95,0.42,0.8,1,0,0,0,Severe,1
ICU_0311,2025-06-14,6,Evening,Equipment Malfunction,1.77,4.3,1.28,0.99,0.6,0.68,0.61,0,1,0,0,Severe,1
ICU_0312,2025-11-26,11,Evening,Diagnostic Delay,3.05,2.5,0.96,0.9,0.83,0.78,0.95,1,0,0,0,Mild,0
ICU_0313,2025-10-29,10,Night,Handover Communication,2.51,2.7,1.11,1.02,0.81,0.62,0.61,0,1,0,1,Near Miss,0
ICU_0314,2025-07-13,7,Night,Blood Transfusion Reaction,3.22,3.6,0.77,0.71,0.55,0.48,0.87,1,1,0,0,Severe,1
ICU_0315,2025-03-03,3,Evening,Equipment Malfunction,2.18,3.4,0.67,0.72,0.91,0.45,0.96,1,0,1,0,Mild,0
ICU_0316,2025-05-11,5,Morning,Fall,2.38,3.8,0.62,0.76,0.86,0.98,0.7,0,0,0,0,Mild,0
ICU_0317,2025-06-08,6,Morning,Medication Error,1.84,2.0,0.76,1.06,0.64,0.71,0.65,0,0,1,1,Severe,1
ICU_0318,2025-06-28,6,Night,Blood Transfusion Reaction,2.68,5.3,1.04,1.01,0.61,0.91,0.65,0,0,0,0,Mild,0
ICU_0319,2025-01-02,1,Evening,Pressure Injury,2.61,5.4,1.44,0.84,0.97,0.78,0.6,0,0,0,0,Mild,0
ICU_0320,2025-08-21,8,Evening,Fall,2.58,2.7,0.6,1.07,0.84,0.51,0.85,1,0,1,0,Severe,1
ICU_0321,2025-08-24,8,Night,Pressure Injury,1.88,4.6,1.21,0.83,0.93,0.64,0.8,1,0,0,0,Sentinel,1
ICU_0322,2025-12-14,12,Morning,Ventilator Event,2.82,4.5,0.96,1.03,0.8,0.44,0.85,1,0,0,0,Severe,1
ICU_0323,2025-12-03,12,Evening,Blood Transfusion Reaction,2.5,3.1,0.61,1.0,0.86,0.87,0.84,0,0,0,0,Near Miss,0
ICU_0324,2025-01-26,1,Night,Handover Communication,3.26,0.8,1.35,0.83,0.66,0.46,0.87,0,0,0,0,Near Miss,0
ICU_0325,2025-09-11,9,Morning,Equipment Malfunction,2.69,3.4,1.11,1.16,0.53,1.0,0.76,0,1,0,1,Severe,1
ICU_0326,2025-02-13,2,Evening,Sepsis Delay,3.33,5.0,0.99,0.96,0.71,0.51,0.99,0,1,1,0,Severe,1
ICU_0327,2025-06-22,6,Night,Fall,2.67,5.9,0.56,1.15,0.54,0.87,0.62,0,0,0,1,Severe,1
ICU_0328,2025-10-16,10,Night,Blood Transfusion Reaction,2.74,4.7,0.95,0.98,0.92,0.98,0.61,0,0,0,0,Severe,1
ICU_0329,2025-03-27,3,Morning,Blood Transfusion Reaction,2.03,5.4,0.95,0.76,0.51,0.84,0.89,0,0,1,1,Sentinel,1
ICU_0330,2025-05-12,5,Morning,Medication Error,2.78,4.5,0.79,0.91,0.63,0.78,0.85,0,0,0,1,Mild,0
ICU_0331,2025-12-02,12,Night,Fall,2.77,3.8,0.99,1.16,0.87,0.96,0.9,0,0,1,1,Near Miss,0
ICU_0332,2025-10-29,10,Night,Sepsis Delay,2.79,2.4,0.74,0.85,0.61,0.7,0.77,0,1,1,0,Near Miss,0
ICU_0333,2025-12-16,12,Night,Sepsis Delay,2.58,5.2,0.86,1.01,0.67,0.9,0.64,0,0,0,1,Sentinel,1
ICU_0334,2025-01-07,1,Evening,Central Line Issue,2.43,3.8,1.37,0.84,1.0,0.49,0.73,0,0,1,0,Severe,1
ICU_0335,2025-02-03,2,Night,Ventilator Event,2.61,5.2,0.99,0.78,0.9,0.6,0.9,0,0,1,0,Severe,1
ICU_0336,2025-06-22,6,Morning,Diagnostic Delay,3.23,5.9,0.83,0.74,0.8,0.85,0.83,0,0,0,0,Mild,0
ICU_0337,2025-08-31,8,Night,Blood Transfusion Reaction,3.14,5.2,0.54,0.81,0.81,0.48,0.71,1,0,0,0,Moderate,0
ICU_0338,2025-04-05,4,Morning,Handover Communication,2.98,7.4,0.51,1.13,0.5,0.87,0.69,0,1,1,1,Severe,1
ICU_0339,2025-06-07,6,Evening,Ventilator Event,2.41,4.3,1.05,0.71,0.78,0.48,0.92,1,0,0,1,Severe,1
ICU_0340,2025-03-23,3,Night,Diagnostic Delay,2.32,3.5,0.53,0.99,0.83,0.94,0.62,0,0,0,0,Severe,1
ICU_0341,2025-08-06,8,Evening,Central Line Issue,2.05,3.5,1.0,0.82,0.71,0.62,0.88,0,0,1,0,Mild,0
ICU_0342,2025-02-11,2,Evening,Pressure Injury,2.3,6.4,0.74,1.1,0.92,0.72,0.7,1,0,0,0,Sentinel,1
ICU_0343,2025-03-10,3,Evening,Blood Transfusion Reaction,2.26,5.8,1.42,0.83,0.97,0.66,0.9,1,0,1,1,Sentinel,1
ICU_0344,2025-10-03,10,Night,Fall,2.71,2.1,1.08,0.91,0.87,0.89,0.89,0,0,0,1,Moderate,0
ICU_0345,2025-04-04,4,Night,Fall,2.74,5.1,0.65,1.09,0.6,0.46,0.96,0,0,1,0,Severe,1
ICU_0346,2025-09-17,9,Morning,Blood Transfusion Reaction,2.02,4.5,1.14,0.87,0.57,0.88,0.64,0,0,0,0,Moderate,0
ICU_0347,2025-12-17,12,Evening,Fall,2.11,5.2,1.26,0.71,0.78,0.59,0.93,1,0,0,0,Severe,1
ICU_0348,2025-09-28,9,Morning,Central Line Issue,2.47,6.4,0.97,0.74,0.62,0.82,0.63,0,0,0,0,Mild,0
ICU_0349,2025-07-28,7,Evening,Ventilator Event,2.47,2.8,1.08,1.11,0.58,0.62,0.93,0,1,1,0,Sentinel,1
ICU_0350,2025-08-13,8,Evening,Ventilator Event,2.0,4.1,1.37,1.17,0.87,0.98,0.97,0,1,0,0,Sentinel,1
ICU_0351,2025-01-13,1,Night,Pressure Injury,2.41,2.5,1.1,1.07,0.77,0.79,0.65,0,1,0,0,Mild,0
ICU_0352,2025-09-02,9,Night,Fall,2.1,4.7,0.9,0.95,0.83,0.86,0.89,0,0,0,1,Severe,1
ICU_0353,2025-10-01,10,Morning,Sepsis Delay,2.93,7.8,1.36,1.13,0.53,0.56,0.97,0,1,0,0,Severe,1
ICU_0354,2025-01-07,1,Night,Handover Communication,2.09,4.4,0.57,0.75,0.88,0.53,0.7,0,1,1,0,Severe,1
ICU_0355,2025-04-30,4,Evening,Blood Transfusion Reaction,2.61,2.5,1.01,0.84,0.83,0.87,0.99,0,0,0,0,Mild,0
ICU_0356,2025-10-06,10,Night,Equipment Malfunction,1.48,3.1,0.79,1.09,0.99,0.76,0.86,0,1,0,0,Severe,1
ICU_0357,2025-03-08,3,Morning,Diagnostic Delay,2.22,6.6,0.72,0.83,0.81,0.78,0.78,0,1,0,0,Severe,1
ICU_0358,2025-03-21,3,Evening,Equipment Malfunction,2.69,1.7,1.24,0.79,0.74,0.4,0.62,0,1,0,1,Severe,1
ICU_0359,2025-02-12,2,Night,Medication Error,2.81,2.2,1.39,0.91,0.51,0.58,0.98,0,0,0,0,Sentinel,1
ICU_0360,2025-02-25,2,Night,Sepsis Delay,2.62,3.3,1.25,0.99,0.97,0.79,0.99,0,0,0,0,Moderate,0
ICU_0361,2025-10-19,10,Morning,Sepsis Delay,2.69,4.8,1.45,1.01,0.66,0.46,0.88,0,1,1,1,Sentinel,1
ICU_0362,2025-06-30,6,Morning,Ventilator Event,1.55,4.7,1.45,1.16,0.69,0.97,0.77,0,0,0,0,Moderate,0
ICU_0363,2025-09-30,9,Evening,Central Line Issue,2.7,2.1,0.59,0.78,0.91,0.89,0.7,1,0,0,0,Moderate,0
ICU_0364,2025-04-20,4,Night,Ventilator Event,2.47,4.8,1.36,0.98,0.78,0.54,0.75,1,0,1,0,Severe,1
ICU_0365,2025-02-23,2,Morning,Sepsis Delay,2.78,2.8,1.14,1.1,0.81,0.57,0.98,1,0,0,0,Moderate,0
ICU_0366,2025-07-14,7,Evening,Sepsis Delay,2.36,7.2,1.28,0.83,0.91,0.6,0.63,0,0,0,1,Severe,1
ICU_0367,2025-01-06,1,Night,Ventilator Event,2.25,4.9,1.14,0.83,0.84,0.48,0.85,0,0,0,0,Severe,1
ICU_0368,2025-08-04,8,Morning,Pressure Injury,2.51,1.9,1.37,0.94,0.89,0.49,0.86,0,0,0,0,Severe,1
ICU_0369,2025-02-19,2,Evening,Medication Error,2.68,3.1,1.21,0.9,0.74,0.5,0.85,0,0,1,0,Severe,1
ICU_0370,2025-07-11,7,Morning,Diagnostic Delay,2.55,5.3,0.82,0.9,0.61,0.67,0.8,0,0,1,0,Moderate,0
ICU_0371,2025-06-20,6,Morning,Handover Communication,2.46,5.0,1.36,0.78,0.77,0.75,0.84,0,0,0,0,Mild,0
ICU_0372,2025-12-10,12,Night,Medication Error,3.13,4.0,0.67,0.73,0.57,0.74,0.7,0,1,0,1,Near Miss,0
ICU_0373,2025-06-07,6,Night,Equipment Malfunction,2.46,4.1,1.41,1.18,0.89,0.93,0.75,0,0,0,0,Sentinel,1
ICU_0374,2025-10-25,10,Morning,Ventilator Event,2.34,3.3,1.0,1.03,0.78,0.46,0.89,0,1,0,0,Severe,1
ICU_0375,2025-08-30,8,Evening,Equipment Malfunction,1.58,1.7,0.57,0.79,0.91,0.75,0.69,0,0,0,0,Severe,1
ICU_0376,2025-07-06,7,Night,Diagnostic Delay,2.96,3.8,0.6,1.18,0.57,0.57,0.67,1,1,1,1,Mild,0
ICU_0377,2025-07-09,7,Morning,Diagnostic Delay,1.73,3.5,1.49,0.71,0.66,0.76,0.74,0,0,0,1,Severe,1
ICU_0378,2025-12-12,12,Evening,Pressure Injury,1.59,2.0,0.59,1.02,0.92,0.72,0.66,0,0,0,0,Near Miss,0
ICU_0379,2025-05-15,5,Night,Sepsis Delay,2.37,4.0,1.41,0.82,0.95,0.75,0.99,0,0,0,0,Mild,0
ICU_0380,2025-03-04,3,Night,Ventilator Event,3.15,4.2,1.09,0.82,0.89,0.42,0.92,1,1,0,0,Severe,1
ICU_0381,2025-05-30,5,Morning,Fall,3.0,5.8,0.54,0.8,0.74,0.67,0.61,1,0,1,0,Sentinel,1
ICU_0382,2025-07-23,7,Morning,Ventilator Event,2.57,3.9,0.81,1.02,0.84,0.77,0.72,0,1,0,0,Moderate,0
ICU_0383,2025-02-21,2,Evening,Handover Communication,3.19,4.9,0.88,0.84,0.64,0.95,0.86,0,1,0,0,Near Miss,0
ICU_0384,2025-05-28,5,Night,Fall,2.67,6.3,1.13,0.84,0.95,0.7,0.92,0,0,0,0,Near Miss,0
ICU_0385,2025-10-04,10,Night,Diagnostic Delay,2.09,4.1,0.61,0.93,0.71,0.95,0.65,0,0,1,0,Near Miss,0
ICU_0386,2025-10-11,10,Morning,Equipment Malfunction,2.72,4.4,0.91,1.14,0.57,0.46,0.69,0,0,1,1,Mild,0
ICU_0387,2025-09-27,9,Evening,Diagnostic Delay,3.37,4.5,1.27,1.08,0.56,0.92,0.64,1,0,0,1,Severe,1
ICU_0388,2025-07-12,7,Night,Diagnostic Delay,3.18,5.1,0.87,0.98,0.92,0.5,0.8,0,0,0,0,Mild,0
ICU_0389,2025-10-23,10,Morning,Diagnostic Delay,2.91,3.6,0.63,1.15,0.63,0.76,0.75,1,0,0,0,Moderate,0
ICU_0390,2025-04-23,4,Evening,Pressure Injury,1.88,4.0,1.3,0.84,0.98,0.95,0.79,0,0,0,0,Severe,1
ICU_0391,2025-10-30,10,Evening,Diagnostic Delay,2.47,7.0,1.1,0.76,0.58,0.78,0.62,0,0,0,1,Severe,1
